timestamp, focused_object
0,none
9.255556,Male Classmate 9,Classmate
9.266667,Male Classmate 9,Classmate
9.277778,Male Classmate 9,Classmate
9.288889,Male Classmate 9,Classmate
9.3,Male Classmate 9,Classmate
9.311111,Male Classmate 9,Classmate
9.322223,Male Classmate 9,Classmate
9.333334,Male Classmate 9,Classmate
9.344444,Male Classmate 9,Classmate
9.355556,Male Classmate 9,Classmate
9.366667,Male Classmate 9,Classmate
9.377778,Male Classmate 9,Classmate
9.388889,Male Classmate 9,Classmate
9.400001,Male Classmate 9,Classmate
9.411111,Male Classmate 9,Classmate
9.422222,Male Classmate 9,Classmate
9.433333,Male Classmate 9,Classmate
